data,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa
2024-01-26,jantar,carne louca (lagarto),grãos gratinados,polenta cremosa,barra de cereais e maçã
2024-01-27,almoco,lombo suíno ao molho roty,curry de legumes,mandioca ao tomatelli,sagu e mamão
2024-01-29,almoco,carne em cubos , ovo frito,legumes sauté,cocada e laranja
2024-01-29,jantar,lombo suíno ao molho barbecue,moussaka vegetariana,ervilha a parmentier,bananada e mamão
2024-01-30,almoco,filé de frango a pizzaiolo,bife de grão de bico a pizzaiollo,purê de batata,maria mole e banana
2024-01-30,jantar,carne moída,pvt com azeitonas,nhoque ao sugo,bombom e melancia
2024-01-31,almoco,pernil suíno ao molho ferrugem,bobó de palmito e abóbora,couve refogada,barra de cereais e mel e abacaxi
2024-01-31,jantar,bife ao molho de cebola,omelete de brócolis,mandioca ao tomatelli ,gelatina de framboesa e laranja
2024-02-01,almoco,bife ao molho de cogumelos opção do prato principal: almôndega de aveia ao molho de cogumelos,almôndega de aveia ao molho de cogumelos,couve flor a provençal,maxi goiabinha e mamão
2024-02-01,jantar,filé de frango ao molho rosé ,grãos com queijo branco,cenoura a salsa,mousse de limão e banana 
2024-02-02,almoco,bisteca ao molho barbecue,curry de legumes,farofa,brigadeirão e melancia
2024-02-02,jantar,lagarto ao molho madeira ,quibe de pvt,batata corada,goiabada com queijo e abacaxi
2024-02-03,almoco,filé de coxa assado,pvt alemão,chuchu com manjericão,pudim de morango com calda de groselha e banana
2024-02-05,almoco,bife ao molho madeira,tomate recheado,mandioca temperada,iogurte de morango e mamão
2024-02-05,jantar,cubos de pernil ao molho barbecue,ovo frito,virado de vagem e cenoura,sorvete de flocos e maçã
2024-02-06,almoco,frango empanado,bife de feijão branco ao molho ferrugem,creme de milho,gelatina de cereja e melão
2024-02-06,jantar,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,maxi goiabinha e banana
2024-02-07,almoco,lombo suíno ao molho ferrugem,almôndega de aveia e espinafre ao sugo,farofa rica,beijinho de coco e abacaxi
2024-02-07,jantar,bife ao molho de azeitonas,pvt com cogumelo,batata doce com ervas,arroz doce moreno e mamão
2024-02-08,almoco,carne em cubos,quibe de brócolis com requeijão,ervilha à parmentier,manjar com calda de ameixa e banana
2024-02-08,jantar,frango assado,curry de legumes,chuchu com azeitonas,bolinho de chocolate com brigadeiro e melancia
2024-02-09,almoco,filé de merluza ao molho rio verde,omelete com espinafre,batata rústica,sagu e laranja
2024-02-09,jantar,hamburguer ao molho pomodoro,hamburguer de pvt ao molho pomodoro,macarrão ao alho e óleo,chocolate ao leite e goiaba
2024-02-15,almoco,bife ao molho roty,lasanha de queijo,repolho com ervas,doce de cocada e melancia
2024-02-15,jantar,frango assado,omelete de forno,ervilha à parmentier,barra de cereal e banana
2024-02-16,almoco,carne moída,pvt com azeitonas,macarrão ao alho e óleo,gelatina de morango e mamão
2024-02-16,jantar,lombo ao molho barbecue,grão de bico à indiana,farofa,beijinho de coco e abacaxi
2024-02-17,almoco,fricassê de frango,estrogonofe de pvt,batata palha,goiabada e laranja
2024-02-19,almoco,linguiça suína acebolada,grão de bico à indiana,farofa rica,bolinho de baunilha com recheio de morango e laranja
2024-02-19,jantar,estrogonofe de carne,ovo frito,legumes refogados,doce de leite e maçã
2024-02-20,almoco,lasanha à bolonhesa,lasanha de pvt,brócolis ao alho,mousse de chocolate e melão
2024-02-20,jantar,filé de frango ao molho ferrugem,souflê de legumes,batata rústica,iogurte de morango e mamão
2024-02-21,almoco,pernil ao molho barbecue,pvt com cogumelo e shimeji,couve refogada,picolé de limão e banana
2024-02-21,jantar,bife ao molho provençal,tomate recheado,polenta,pudim de maria mole com coco e laranja
2024-02-22,almoco,hamburguer à pizzaiolo,hamburguer de pvt à pizzaiolo,purê de batatas,chocolate ao leite e melancia
2024-02-22,jantar,frango empanado,almôndega de aveia e espinafre ao sugo,cenoura à salsa,mosaico de gelatina e melão
2024-02-23,almoco,bife ao molho de cebola,omelete de brócolis,nhoque ao sugo,goiabada com queijo e abacaxi
2024-02-23,jantar,lombo ao molho ferrugem,moussaka vegetariana,vagem sautê,barra de cereais e melancia
2024-02-24,almoco,frango assado,grãos com queijo branco,abobrinha à italiana,surpresa de abacaxi e maçã
2024-02-26,almoco,frango empanado,almôndega de ricota com espinafre,creme de milho,bolinho roll de chocolate e melancia
2024-02-26,jantar,bife ao molho madeira,quibe de brócolis com requeijão,batata corada,torrone e laranja
2024-02-27,almoco,carne moída refogada,pvt com azeitonas,macarrão penne com molho parmesão,bananada e maçã
2024-02-27,jantar,linguiça suína acebolada,ovo cozido,farofa rica,bombom e abacaxi
2024-02-28,almoco,estrogonofe de carne,souflé de legumes,batata palha,pudim de maria mole com coco e melão
2024-02-28,jantar,peixe frito ,grãos com queijo branco,brócolis à provençal,picolé de uva e banana
2024-02-29,almoco,tiras de frango ao molho ferrugem,curry de legumes,polenta cremosa,barrinha de cereais de banana e mel e abacaxi
2024-02-29,jantar,carne de panela ao pomodoro,grão de bico à indiana,chuchu gratinado,brigadeirão e melancia
2024-03-01,almoco,bife ao molho roty,cassoulet vegetariano,batata doce com ervas,doce de goiabada e laranja
2024-03-01,jantar,filé de coxa assado,ovo frito,cenoura refogada,pudim de baunilha com groselha e melão
2024-03-02,almoco,lombo suíno ao molho barbecue,pvt mexicano,couve ao alho,gelatina de cereja e mamão
2024-03-04,almoco,frango empanado,pvt com azeitonas,legumes refogados,doce de leite e maçã
2024-03-04,jantar,bife ao molho de cebola,tomate recheado,batata rústica,bolinho roll de chocolate e abacaxi
2024-03-05,almoco,lasanha à bolonhesa,lasanha de pvt,acelga refogada,doce de banana e mamão
2024-03-05,jantar,pernil ao molho barbecue,baião de dois vegetariano,mandioca sauté,gelatina de framboesa e melão
2024-03-06,almoco,filé de coxa assado,souflê de legumes,purê de batata e mandioquinha,mousse de maracujá e melancia
2024-03-06,jantar,carne em cubos ao molho provençal,omelete de forno,polenta cremosa,sorvete de flocos e banana
2024-03-07,almoco,hamburguer à pizzaiolo,hamburguer de lentilha ao sugo,macarrão à primavera,bombom e abacaxi
2024-03-07,jantar,filé de frango ao molho ferrugem,grão de bico à indiana,vagem ao alho,arroz doce moreno
2024-03-08,almoco,lombo ao molho madeira,ovo frito,chuchu com azeitonas,flan de baunilha com calda e
2024-03-08,jantar,isca bovina ao molho roty,quibe de brócolis e requeijão,ervilha à parmentier,iogurte de morango e melancia
2024-03-09,almoco,lagarto ao molho de cogumelos,pvt com shimeji e champignon, farofa,pudim de coco com groselha e
2024-03-11,almoco,bife ao molho madeira,quibe de brócolis e requeijão ,chuchu gratinado,bolinho de baunilha e morango e abacaxi
2024-03-11,jantar,linguiça suína acebolada,pvt com azeitonas,farofa,bombom e melão
2024-03-12,almoco,filé de frango empanado,bife de grão de bico,creme de milho,picolé de uva e banana
2024-03-12,jantar,carne moída,moussaka vegetariana,abobrinha à italiana,mousse de limão e melancia
2024-03-13,almoco,bisteca suína ao molho ferrugem,baião de dois vegetariano,couve ao alho,surpresa de banana e melão 
2024-03-13,jantar,filé de coxa assada,almôndega de aveia,polenta cremosa,gelatina de morango e banana 
2024-03-14,almoco,pernil ao molho barbecue,omelete de abobrinha,repolho com ervas,manjar com calda de ameixa e melancia
2024-03-14,jantar,estrogonofe de carne ,estrogonofe de legumes,batata palha,torrone e maçã
2024-03-15,almoco,filé de peixe ao molho suíço,grãos com queijo branco,brócolis ao alho ,pudim de maria mole com coco e laranja
2024-03-15,jantar,carne louca ,ovo cozido,macarrão alho e óleo com espinafre,chocolate ao leite e abacaxi
2024-03-16,almoco,bisteca suína ao molho ferrugem,baião de dois vegetariano,couve ao alho,surpresa de banana e melão 
2024-03-18,almoco,linguiça acebolada,grão de bico à indiana,virado de cenoura e vagem,iogurte de morango e maçã
2024-03-18,jantar,frango empanado,omelete de espinafre,creme de milho,barra de cereal e melancia
2024-03-19,almoco,carne de panela ao pomodoro,almôndegas de aveia,purê de batatas,gelatina de cereja e laranja
2024-03-19,jantar,lombo ao barbecue,grãos com queijo branco,legumes refogados,doce de banana e mamão
2024-03-20,almoco,frango assado,ovo frito,polenta cremosa,barra de cereal e abacaxi
2024-03-20,jantar,bife ao molho madeira,rondele de queijo e espinafre,couve flor à provençal,pudim de pão e banana
2024-03-21,almoco,bife ao molho ferrugem,pvt alemão,ervilha à parmentier,cocada e banana
2024-03-21,almoco,estrogonofe de carne,estrogonofe de pvt,batata palha,brigadeirão e melão
2024-03-21,jantar,bisteca ao molho roty,curry de legumes,farofa rica,maxi goiabinha e laranja
2024-03-22,almoco,tiras de frango à pizzaiolo,ovo frito,macarrão ao alho e óleo,surpresa de abacaxi e melancia
2024-03-22,jantar,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,picolé de limão e maçã
2024-03-23,almoco,bife ao molho ferrugem,pvt alemão,ervilha à parmentier,cocada e banana
2024-03-25,almoco,bife ao molho pomodoro,tomate recheado,chuchu gratinado,barra de cereal chocolate e melancia
2024-03-25,jantar,lombo ao molho roty,pvt com azeitonas,farofa rica,bolinho de baunilha e abacaxi
2024-03-26,almoco,fricassé de frango,grão de bico,legumes sautê,sorvete de creme e banana
2024-03-26,jantar,hamburguer à pizzaiolo,hamburguer de pvt ao sugo,purê de batatas,pão de mel e mamão
2024-03-27,almoco,cubos de pernil ao barbecue,curry de legumes,mandioca à salsa,mosaico de gelatina e abacaxi
2024-03-27,jantar,filé de frango ao molho ferrugem,omelete de forno,nhoque ao sugo,romeu e julieta e melancia
2024-03-28,almoco,bife à pizzaiolo,bobó de palmito,batata corada,ovo de páscoa e maçã
2024-03-28,jantar,peixe frito,souflê de legumes,brócolis à provençal,ovo de páscoa e banana
2024-04-01,almoco,bife ao molho roty,souflê de legumes,chuchu com manjericão,pé de moça e maçã
2024-04-01,jantar,linguiça suína acebolada,pvt com azeitonas,virado de vagem com cenoura,maxi chocolate e melão
2024-04-02,almoco,fricassé de frango,almôndega de aveia ao molho provençal,batata sautê,sorvete de morango e banana
2024-04-02,jantar,hamburguer ao sugo,hamburguer de pvt ao sugo,macarrão ao alho e óleo,chocolate ao leite e abacaxi
2024-04-03,almoco,cubos de pernil ao barbecue,curry de legumes,farofa,pudim de pão e melancia
2024-04-03,jantar,bife ao molho madeira,tomate recheado,legumes ao alho,goiabada e laranja
2024-04-04,almoco,lasanha à bolonhesa,lasanha de pvt,repolho com ervas,torrone e mamão
2024-04-04,jantar,frango assado,ovo frito,abobrinha à italiana,flan de baunilha e melancia
2024-04-05,almoco,peixe ao molho de queijos,grãos com queijo branco,brócolis à provençal,bolinho roll de chocolate e abacaxi
2024-04-05,jantar,lombo suíno ao molho ferrugem,bifinho de feijão branco ao molho ferrugem,mandioca ao pomodoro,gelatina de morango e banana
2024-04-06,almoco,carne de panela ao pomodoro,omelete de forno,batata rústica,cocada e laranja
2024-04-08,almoco,carne de panela ao molho madeira,grãos gratinados,couve flor à provençal,bombom e melão
2024-04-08,jantar,filé de frango ao molho pomodoro,pvt com shimeji e cogumelo ,chuchu gratinado,barra de cereais e maçã
2024-04-09,almoco,bisteca ao molho barbecue,cassoulet vegetariano,couve ao alho,arroz doce moreno e laranja
2024-04-09,jantar,estrogonofe de carne,estrogonofe de pvt ,batata palha,maxi chocolate e melancia
2024-04-10,almoco,bife ao molho de cogumelo,lasanha de queijo,legumes sautê,iogurte e banana
2024-04-10,jantar,cubos de pernil ao molho ferrugem,omelete de espinafre,farofa,brigadeirão e abacaxi
2024-04-11,almoco,frango assado,grão de bico à indiana,macarrão à primavera,gelatina de cereja e mamão
2024-04-11,jantar,carne moída com azeitonas,pvt alemão,polenta cremosa,picolé de uva e banana
2024-04-12,almoco,lombo suíno ao molho ferrugem,ovo cozido,virado de cenoura e abobrinha,mini bolo de chocolate e abacaxi
2024-04-12,jantar,bife ao molho roty,almôndega de aveia e espinafre,ervilha à parmentier,pudim de maria mole com calda e melão
2024-04-13,almoco,carne louca ( lagarto),pvt com azeitonas,batata doce com ervas,mousse de limão e melancia
2024-04-15,almoco,filé de frango empanado,ovo cozido,creme de milho,chocolate ao leite e abacaxi
2024-04-15,jantar,carne em cubos ao molho ferrugem,cassoulet vegetariano,batata rústica,torrone e laranja
2024-04-16,almoco,linguiça suína acebolada,pvt com shimeji e cogumelo,farofa,picolé de limão e banana
2024-04-16,jantar,bife ao molho pomodoro,moussaka vegetariana,chuchu com manjericão,gelatina de morango e mamão
2024-04-17,almoco,quibe de assadeira,quibe de pvt,ervilha à parmentier,manjar de coco com calda de ameixa e maçã
2024-04-17,jantar,tiras de frango à pizzaiolo,grãos com queijo branco,macarrão ao alho e óleo,iogurte e melancia
2024-04-18,almoco,estrogonofe de carne,estrogonofe de grão de bico,batata palha,pé de moça e mamão
2024-04-18,jantar,peixe frito,baião de dois vegetariano,brócolis à provençal,bolinho roll de chocolate e abacaxi
2024-04-19,almoco,bife ao molho madeira,tomate recheado,nhoque ao sugo,brigadeirão e melancia
2024-04-19,jantar,lombo suíno ao molho barbecue,omelete de brócolis,cuscuz de legumes,maxi goiabinha e banana
2024-04-20,almoco,frango assado,grão de bico à indiana,polenta,surpresa de abacaxi e melão
2024-04-22,almoco,filé de frango empanado,pvt com azeitonas,creme de milho,doce de leite
2024-04-22,jantar,bife ao molho ferrugem,ovo frito,batata rústica,barra de cereal e tangerina
2024-04-23,almoco,hamburguer à pizzaiolo,hamburguer de lentilha ao sugo,macarrão ao alho e óleo,flan de baunilha com calda de goiabada
2024-04-23,jantar,frango assado,souflê de legumes,couve flor à provençal,bombom
2024-04-24,almoco,pernil ao molho barbecue,baião de dois vegetariano,mandioca à italiana,doce de banana
2024-04-24,jantar,lasanha à bolonhesa,lasanha de pvt,repolho e cenoura refogados,manjar com calda de ameixa
2024-04-25,almoco,bife ao molho tomatelli,quibe de brócolis,legumes à salsa,mosaico de gelatina
2024-04-25,jantar,bisteca suína acebolada ao molho roty,curry de legumes,farofa,sorvete de flocos
2024-04-26,almoco,estrogonofe de frango,estrogonofe de pvt,batata palha,pudim de maria mole com coco
2024-04-26,jantar,lagarto ao molho madeira,ovo cozido,vagem ao alho,pé de moça
2024-04-27,almoco,carne moída refogada,pvt alemão,cenoura gratinada,mousse de morango
2024-04-29,almoco,bife ao molho de azeitonas,moussaka vegetariana,vagem ao vinagrete,barra de cereais (cereais e chocolate) e abacaxi
2024-04-29,jantar,filé de frango empanado,ovo frito,creme de milho,bananada e maçã
2024-04-30,almoco,lombo suíno grelhado ao barbecue,bife de feijão branco ao molho barbecue,farofa,gelatina de framboesa e tangerina
2024-04-30,jantar,iscas de carne ao molho madeira,quibe de brócolis,batata corada,bolinho de baunilha e morango e melão
2024-05-02,almoco,filé de frango empanado,omelete de abobrinha,legumes com ervas,bombom e melancia
2024-05-02,jantar,bife ao molho tomatelli,tomate recheado,ervilha à parmentier,pé de moça e banana
2024-05-03,almoco,filé de coxa assado,cassoulet vegetariano,polenta cremosa,goiabada em barra e laranja
2024-05-03,jantar,carne louca (lagarto desfiado),pvt alemão,macarrão ao alho e óleo,manjar com calda de ameixa e melão
2024-05-04,almoco,pernil ao molho ferrugem,pvt mexicano,chuchu com manjericão,mosaico de gelatina e mamão
2024-05-06,almoco,carne em cubos ao molho de azeitonas,ovo cozido,ervilha parmentier,cocada branca e maçã
2024-05-06,jantar,filé de frango empanado,lasanha de queijos,cenoura à salsa,barra de cereais e melão
2024-05-07,almoco,bife ao molho roty,moussaka vegetariana,brócolis à provençal,mousse de morango e banana
2024-05-07,jantar,lombo ao molho barbecue,curry de legumes,farofa rica,bolinho roll e abacaxi
2024-05-08,almoco,frango assado,bifinho de feijão ao molho barbecue,abobrinha à italiana,manjar com calda de ameixa e melancia
2024-05-08,jantar,strogonoff de carne,strogonoff de grão de bico,batata palha,doce de leite e laranja
2024-05-09,almoco,lagarto ao molho de cogumelos,pvt com azeitonas,legumes ao alho,iogurte e mamão
2024-05-09,jantar,filé de frango à pizzaiolo,omelete de forno,polenta cremosa,pudim de maria mole e banana
2024-05-10,almoco,pernil ao molho ferrugem ,baião de dois vegetariano,mandioca ao tomatelli,brigadeirão e abacaxi
2024-05-10,jantar,quibe recheado com requeijão,quibe de pvt,couve flor à salsa,picolé de uva e maçã
2024-05-11,almoco,bife grelhado ao molho de cebola,pvt alemão,batata doce com ervas,surpresa de abacaxi e melão
2024-05-13,almoco,bife ao molho madeira,tomate recheado,mandioca temperada,picolé de limão e maçã
2024-05-13,jantar,linguiça acebolada,ovo frito,virado de couve,torrone e mamão
2024-05-14,almoco,tiras de frango ao molho ferrugem,quibe de brócolis,vagem à provençal,arroz doce caramelado e melão
2024-05-14,jantar,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,maxi goiabinha e banana
2024-05-15,almoco,lombo assado ao molho barbecue,omelete de espinafre,farofa rica,chocolate ao leite e abacaxi
2024-05-15,jantar,bife ao molho de azeitonas,pvt com azeitonas,batata rústica,gelatina de framboesa e mexerica
2024-05-16,almoco,carne moída,souflê de legumes,polenta cremosa,flan de baunilha com calda de caramelo e banana
2024-05-16,jantar,frango assado,baião de dois,brócolis ao alho,mini bolo baunilha com morango e melancia
2024-05-17,almoco,peixe frito,almôndega de aveia ao molho ferrugem,purê de batata e mandioquinha,barra de cereais e mamão
2024-05-17,jantar,hamburguer ao tomatelli,hamburguer de lentilha ao tomatelli,macarrão ao alho com espinafre,brigadeirão e abacaxi
2024-05-18,almoco,carne em cubos ao molho roty,pvt c cogumelo e shimeji,chuchu gratinado,bananada e laranja
2024-05-20,almoco,linguiça acebolada ,grão de bico à indiana,virado de cenoura e vagem,mini bolo de baunilha e melancia
2024-05-20,jantar,filé de peixe ao molho rio verde , grãos com queijo branco,cenoura a salsa,bombom e abacaxi
2024-05-21,almoco,lasanha à bolonhesa,lasanha de pvt,repolho com cenoura refogados,gelatina de cereja e melão
2024-05-21,jantar,frango assado,cassoulet,polenta ,iogurte e mamão
2024-05-22,almoco,lombo ao molho barbecue,ovo frito,couve refogada,pão de mel e banana
2024-05-22,jantar,carne de panela ao molho acebolado,souflê de legumes,nhoque ao sugo,pudim de maria mole com coco e melancia
2024-05-23,almoco,estrogonofe de carne,bifinho de pvt ao molho ferrugem,batata palha,barra de cereais e abacaxi
2024-05-23,jantar,pernil ao molho roty,ovo cozido,farofa,sorvete de creme e banana
2024-05-24,almoco,bife ao molho madeira,curry de legumes,batata rústica ,surpresa de banana e maçã
2024-05-24,jantar,filé de peixe ao molho rio verde , grãos com queijo branco,cenoura a salsa,bombom e abacaxi
2024-05-25,almoco,filé de frango ao molho ferrugem,almôndega de aveia ao molho ferrugem ,couve flor ao tomatelli ,maxi goiabinha e laranja
2024-05-27,almoco,filé de frango empanado,ovo cozido,creme de milho,bananada
2024-05-27,jantar,bife ao molho de cebola,almôndega de aveia ao molho ferrugem,abobrinha à italiana,barra de cereais e melão
2024-05-28,almoco,hamburguer à pizzaiolo,hamburguer de lentilha ao sugo,purê de batatas,gelatina de morango e banana
2024-05-28,jantar,lombo ao molho roty,moussaka,farofa,chocolate ao leite e abacaxi
2024-05-29,almoco,carne moída ao sugo,pvt com azeitonas,macarrão à primavera,pudim de pão e melancia
2024-05-29,jantar,estrogonofe de frango,estrogonofe de legumes,batata palha,cocada e laranja
2024-06-03,almoco,filé de frango empanado,bifinho de feijão branco,creme de milho,doce de batata doce e laranja
2024-06-03,jantar,bife ao molho provençal,tomate recheado,legumes à salsa,bombom e abacaxi
2024-06-04,almoco,lasanha à bolonhesa,lasanha de ricota e espinafre,vagem sauté,maxi chocolate e banana
2024-06-04,jantar,pernil ao molho barbecue,ovo frito,farofa,mousse de limão e mamão
2024-06-05,almoco,estrogonofe de carne,estrogonofe de legumes,batata palha,flan de baunilha com calda e maçã
2024-06-05,jantar,filé de frango ao molho ferrugem,baião de dois vegetariano,couve flor à provençal,sorvete de flocos e banana
2024-06-06,almoco,lombo assado ao molho roty,cassoulet vegetariano,couve refogada,mosaico de gelatina e melão
2024-06-06,jantar,hamburguer ao molho tomatelli,hamburguer de pvt ao molho tomatelli,macarrão pene ao alho,doce de leite e mexerica
2024-06-07,almoco,filé de coxa assado,almôndega de aveia e espinafre ao molho ferrugem,abobrinha à italiana,torrone e mamão
2024-06-07,jantar,lagarto assado ao molho madeira,moussaka vegetariana,batata corada,pudim de maria mole com coco
2024-06-08,almoco,bife ao molho pomodoro,omelete de brócolis,chuchu com manjericão,bolinho roll e abacaxi
2024-06-10,almoco,filé de frango empanado,bifinho de grão de bico ao sugo,vagem ao alho,bananada e maçã
2024-06-10,jantar,estrogonofe de carne,estrogonofe de pvt,batata palha,torrone e laranja
2024-06-11,almoco,carne em cubos ao molho pomodoro,curry de legumes,batata rústica,arroz doce moreno e banana
2024-06-11,jantar,linguiça acebolada,ovo cozido,acelga à chinesa,chocolate ao leite e melancia
2024-06-12,almoco,bife ao molho madeira,tomate recheado,macarrão ao sugo,barra de cereal e mamão
2024-06-12,jantar,tiras de frango ao tomatelli,grãos com queijo branco,legumes refogados,pudim de pão com calda e melão
2024-06-13,almoco,pernil ao molho barbecue,omelete de espinafre,mandioca ensopada ao molho pomodoro,pudim de maria mole com coco e melancia
2024-06-13,jantar,bife ao molho de azeitonas,quibe de brócolis e requeijão,ervilha à parmentier,mini bolo de baunilha com chocolate e banana
2024-06-14,almoco,filé de coxa assado,pvt com azeitonas,polenta ao sugo,mousse de limão e tangerina
2024-06-14,jantar,lagarto assado ao molho roty,almôndega de aveia molho roty,chuchu gratinado,pão de mel e abacaxi
2024-06-15,almoco,lombo ao molho ferrugem,lasanha de abobrinha e pvt,farofa,espumone de morango e melão
2024-06-17,almoco,linguiça suína acebolada,moussaka vegetariana,virado de couve e milho,iogurte
2024-06-17,jantar,bife ao molho madeira,curry de legumes,chuchu com azeitonas,rocambole de chocolate
2024-06-18,almoco,quibe recheado com requeijão,quibe de pvt recheado com requeijão,purê de batata e mandioquinha,gelatina de framboesa
2024-06-18,jantar,filé de coxa assado,cassoulet vegetariano,macarrão ao sugo,pé de moça
2024-06-19,almoco,filé de peixe ao molho rio verde,grãos com queijo branco,couve flor à provençal,cocada
2024-06-19,jantar,carne em cubos ao molho de cogumelos,pvt alemão,batata rústica,mousse de maracujá
2024-06-20,almoco,carne louca (lagarto desfiado),almôndegas de aveia ao molho ferrugem,polenta cremosa,kit junino
2024-06-20,jantar,lombo suíno ao molho ferrugem,omelete de brócolis,cuscuz,kit junino
2024-06-21,almoco,filé de frango ao molho de cebola,baião de dois vegetariano,legumes refogados,brigadeirão
2024-06-21,jantar,lasanha à bolonhesa,lasanha de pvt,repolho com ervas,doce de batata doce
2024-06-22,almoco,bife ao molho provençal,ovo frito,abobrinha sautê,pão de mel
2024-06-24,almoco,carne em cubos ao molho ferrugem,quibe de brócolis com requeijão,batata doce com ervas,pé de moça
2024-06-24,jantar,filé de frango empanado,ovo frito,creme de milho,cocada
2024-06-25,almoco,hamburguer ao sugo,hamburguer de pvt ao sugo,purê de batatas,chocolate ao leite
2024-06-25,jantar,lombo ao molho de cebola,souflê de legumes,farofa,manjar de coco com calda de ameixa
2024-06-26,almoco,estrogonofe de frango,pvt com champignon e shimeji,batata palha,canjica c amendoim
2024-06-26,jantar,bife ao molho madeira,almôndegas de ricota e espinafre,brócolis à provençal,barra de cereais 
2024-06-27,almoco,carne moída refogada,ovo cozido,nhoque ao sugo,mini bolo de baunilha 
2024-06-27,jantar,filé de coxa assado,grão de bico à indiana,polenta cremosa,brigadeirão
2024-06-28,almoco,isca de carne ao molho roty,bifinho de lentilha ao molho roty,ervilha à parmentier,sorvete de creme
2024-06-28,jantar,peixe frito,pvt com azeitonas,legumes na manteiga,maxi goiabinha
2024-06-29,almoco,cubos de pernil ao molho barbecue,pvt mexicano,couve refogada,curau
2024-07-01,jantar,linguiça suína acebolada,pvt com shimeji e champignon,farofa,bombom
2024-07-02,almoco,iscas de frango ao molho ferrugem,bifinho de feijão branco ao molho ferrugem,batata doce com ervas,manjar com calda de ameixa
2024-07-02,jantar,carne louca (lagarto desfiado),omelete de brócolis,polenta,bolinho de baunilha e morango
2024-07-03,almoco,feijoada,feijoada vegetariana,couve refogada,gelatina de cereja
2024-07-03,jantar,bife ao molho tomatelli,curry de legumes,cenoura à salsa,torrone
2024-07-04,almoco,carne moída refogada,ovo frito,macarrão à primavera,chocolate ao leite
2024-07-04,jantar,filé de coxa assada,moussaka vegetariana,batata corada,arroz doce
2024-07-05,almoco,iscas de carne ao molho de cogumelos,quibe de brócolis,chuchu com manjericão,barra de cereal
2024-07-05,jantar,lombo ao molho roty,almôndegas de aveia ao molho rotty,cuscuz de legumes,pudim de maria mole com calda
2024-07-06,almoco,carne em cubos ao molho provençal,pvt mexicano,mandioca ao tomatelli,brigadeirão
2024-07-10,almoco,linguiça acebolada,grão de bico à indiana,farofa,max chocolate
2024-07-10,jantar,filé de frango empanado,pvt com azeitonas,creme de milho,barra de cereais (banana e mel)
2024-07-11,almoco,lasanha à bolonhesa,não informado,acelga à chinesa,gelatina de morango e mamão
2024-07-11,jantar,bisteca suína ao molho ferrugem,cassoulet vegetariano,virado de couve,bananada e laranja
2024-07-12,almoco,filé de coxa assado,bifinho de lentilha ao sugo,polenta,bombom
2024-07-12,jantar,bife ao molho provençal,ovo frito,ervilha à parmentier,doce de abóbora caseiro e banana
2024-07-13,almoco,lagarto ao molho de cogumelos,estrogonofe de pvt,legumes refogados,flan de baunilha com calda de goiabada
2024-07-15,almoco,carne em cubos ao molho pomodoro,almôndega de aveia ao molho pomodoro,legumes refogados,torrone
2024-07-15,jantar,filé de frango ao molho ferrugem,quibe de brócolis e requeijão,polenta,barra de cereal de chocolate e frutas
2024-07-16,almoco,lombo ao molho roty,curry de legumes ,abobrinha à italiana,beijinho
2024-07-16,jantar,lasanha à bolonhesa,lasanha de ricota e espinafre,repolho com cenoura refogados ,gelatina de cereja
2024-07-17,almoco,hamburguer bovino ao sugo,bifinho de grão de bico ao sugo,purê de batata e mandioquinha,arroz doce
2024-07-17,jantar,pernil ao molho barbecue,ovo cozido,farofa rica,max goiabinha
2024-07-18,almoco,filé de frango empanado,cassoulet vegetetariano,creme de milho,banana caramelada
2024-07-18,jantar,bife ao molho de cebola,tomate recheado,chuchu com manjericão,bolinho roll de chocolate
2024-07-19,almoco,carne moída refogada,hamburguer de pvt ao molho ferrugem,macarrão com espinafre ao alho e óleo,goiabada com queijo
2024-07-19,jantar,peixe frito,grãos gratinados,batata corada,pão de mel
2024-07-20,almoco,bisteca ao molho madeira,ovo frito,couve flor à provençal,iogurte
2024-07-22,almoco,filé de frango empanado,omelete de forno,creme de milho,bananada
2024-07-22,jantar,bife grelhado ao molho de cebola,estrogonofe de pvt,batata doce com ervas,goiabada com queijo
2024-07-23,almoco,estrogonofe de carne,pvt com azeitonas,batata palha,canjica
2024-07-23,jantar,lombo ao molho barbecue,suflê de legumes,couve ao alho ,beijinho
2024-07-24,almoco,bife ao molho de azeitonas,tomate recheado,vagem ao alho,mosaico de gelatina
2024-07-24,jantar,filé de coxa assado,ovo cozido,polenta ao sugo com parmesão,iogurte
2024-07-25,almoco,pernil ao molho roty,moussaka vegetariana,farofa,cocada
2024-07-25,jantar,hambúrguer à pizzaiolo,hambúrguer de grão de bico ao sugo,macarrão macarrão ao alho e óleo,manjar com calda de ameixa
2024-07-26,almoco,peixe frito,grãos com queijo,brócolis à provençal,bolinho roll de chocolate
2024-07-26,jantar,carne moída refogada,pvt alemão,batata rústica,gelatina de cereja
2024-07-26,almoco,peixe frito,grãos com queijo,brócolis à provençal,bolinho roll de chocolate
2024-07-27,almoco,filé de frango ao molho ferrugem,bifinho de feijão branco ao molho ferrugem,ervilha à parmentier,barra de cereal de banana e mel
2024-07-29,almoco,bife ao molho roty,quibe de pvt,chuchu com manjericão,pão de mel
